"FilingID","SchA-3","Schedule","Full Legal Name","DE/FE/I","Entity in Which","Title or Status","Status Acquired","Ownership Code","Control Person","PR","OwnerID"
"948977","Y","A","HO, YVONNE, YUK YEE","I","","DIRECTOR","03/2006","NA","Y","N","6049377"
"948977","Y","A","POON, LESTER, YIU CHEONG","I","","DIRECTOR","04/2006","NA","Y","N","6190159"
"948977","Y","A","CHOI, JOONCHUL","I","","DIRECTOR","12/2013","NA","Y","N","6349238"
"948977","Y","A","PEDDER STREET HOLDINGS LIMITED","FE","","SHAREHOLDER","07/2013","E","Y","N","FOREIGN ENTITY"
"948977","","B","ANVI INTERNATIONAL HOLDINGS LIMITED","FE","PEDDER STREET HOLDINGS LIMITED","SHAREHOLDER","07/2013","C","Y","N","FOREIGN ENTITY"
"948977","","B","CHEETAH GROUP HOLDINGS LIMITED","FE","PEDDER STREET HOLDINGS LIMITED","SHAREHOLDER","04/2006","C","Y","N","FOREIGN ENTITY"
"948977","","B","WONG, RAYMOND, KIN JEON","I","CHEETAH GROUP HOLDINGS LIMITED","SHAREHOLDER","01/2002","C","Y","N","6049374"
"948977","","B","YEH, V-NEE, (NMN)","I","CHEETAH GROUP HOLDINGS LIMITED","SHAREHOLDER","10/2005","C","Y","N","6049375"
"948977","","B","YU, LULU, MAN YING","I","CHEETAH GROUP HOLDINGS LIMITED","SHAREHOLDER","02/2005","C","Y","N","6049376"
"946229","N","A","CE MINING HOLDING LIMITED","FE","","OWNER OF CE MINING GP II LIMITED","07/2015","E","Y","N","FOREIGN"
"946229","N","A","MILLS, BRADFORD, ALAN","I","","MANAGING DIRECTOR","09/2009","D","Y","N","6560428"
"946229","N","A","SANDER, MARK, VAN DYKE","I","","FOUNDING PARTNER","09/2009","B","N","N","6560431"
"946229","N","A","SWARUP, SANJAY","I","","FOUNDING PARTNER","09/2009","NA","N","N","6560432"
"946229","N","A","MAUVE, ANTON","I","","PARTNER","10/2010","B","N","N","6560435"
